"country" "intercept" "slope" "n" "slope.SE" "p.value" "r.squared" "continent"
"1" "Afghanistan" -507.534271561773 0.275328671328672 12 0.0204509335898211 9.83521290305378e-08 0.947712256940156 "Asia"
"2" "Albania" -594.072510955711 0.334683216783217 12 0.0331663871296779 1.46276319026103e-06 0.910577768147282 "Europe"
"3" "Algeria" -1067.85903962704 0.569279720279723 12 0.0221270703721842 1.80814336319401e-10 0.985117211330325 "Africa"
"4" "Angola" -376.504753146854 0.209339860139861 12 0.0235320029490748 4.59349840616559e-06 0.887814629625411 "Africa"
"5" "Argentina" -389.606344522146 0.231708391608392 12 0.00488879098963914 4.21556744714261e-13 0.995568095577293 "Americas"
"6" "Australia" -376.1162983683 0.227723776223777 12 0.0103795793946981 8.66722161150053e-10 0.979647737452164 "Oceania"
"7" "Austria" -405.920523076924 0.241992307692308 12 0.00681385679571341 7.43523965861922e-12 0.992134013072329 "Europe"
"8" "Bahrain" -859.825810256413 0.467507692307694 12 0.0274218228674581 1.01585466423247e-08 0.966739810192869 "Asia"
"9" "Bangladesh" -936.215774358979 0.498130769230772 12 0.0163349980635346 3.36950099089086e-11 0.989360868753722 "Asia"
"10" "Belgium" -340.241246153847 0.209084615384616 12 0.00489874724629768 1.19628011775394e-12 0.994540556120366 "Europe"
"11" "Benin" -612.834043822846 0.334232867132868 12 0.0196465189747699 1.03713823488911e-08 0.966601989284387 "Africa"
"12" "Bolivia" -937.111142890447 0.49993216783217 12 0.0198096511530975 2.18647531760714e-10 0.984541564199511 "Americas"
"13" "Bosnia and Herzegovina" -624.632673659675 0.349755244755245 12 0.0377423630975995 3.17939497468694e-06 0.895698285281745 "Europe"
"14" "Botswana" -65.4958580419554 0.0606685314685302 12 0.102225189129596 0.566041352585501 0.0340234011251802 "Africa"
"15" "Brazil" -709.942686013989 0.390089510489512 12 0.00545624260848243 6.99043321718658e-15 0.998047414881933 "Americas"
